Counts,of hosts dublicates when FLD's collected by get_tld on pyhton
11,xi.to
11,xn.pl
11,xxxl-cash.net
11,xywdvhd.com
11,yieldkit.com
11,ymtracking.com
11,yoocafe.com
11,yoyi.tv
11,ytdownloader.com
11,yupfiles.net
11,zcoup.com
11,zzbaowen.com
12,103092804.com
12,1hwy.com
12,1mono.biz
12,1music-online.me
12,1phads.com
12,1sercher.biz
12,1video-online.me
12,24hstatic.com
12,2blogi-zfinansowe.xyz
12,2giga.link
12,2mono.biz
12,2solo.biz
12,3solo.biz
12,4mono.biz
12,6mono.biz
12,6sc.co
12,6solo.biz
12,7mono.biz
12,97sky.cn
12,9hz.com
12,about.com
12,acquisio.com
12,adbn.ru
12,adclear.de
12,adcrowd.com
12,addynamo.net
12,adinplay.com
12,adkmob.com
12,adlook.me
12,adsdk.com
12,adserver.mobi
12,adsparc.net
12,adsushi.de
12,adtimaserver.vn
12,adtima.vn
12,affiliatelounge.com
12,affiliation.software
12,affiz.net
12,airdns.org
12,akavita.com
12,alimama.com
12,almostmy.com
12,ambientplatform.vn
12,ameba.jp
12,angelldesign.co.uk
12,aosdelivery.com
12,aplus.net
12,appconsent.io
12,appintop.com
12,apps.co.pl
12,awstaticdn.net
12,baburn.com
12,bannerboo.com
12,basenews7.com
12,bayramoglugrup.net
12,bearclod.com
12,benefitsdepot.net
12,bfast.com
12,bigmobileads.com
12,bireye-ozel-basvur-destek-kampanya.xyz
12,blahdns.com
12,blog-finansowe.xyz
12,blogi-finansowe.xyz
12,blogujer-teraz.xyz
12,bloguje-teraz8w.xyz
12,bloguje-teraz.eu
12,blueseed.tv
12,bo4news.biz
12,braintb.com
12,brznetwork.com
12,c13a856f4a879a89e9a638207efd6c94.biz
12,cacafly.net
12,cafe24.com
12,carmanial.com
12,cauly.co.kr
12,cdnasiaclub.com
12,cdnrl.com
12,central-messages.com
12,championmachinery-cn.com
12,channelvn.net
12,chip.de
12,chueca.com
12,citricbenz.website
12,citrio.com
12,clan.su
12,classifieds1000.com
12,cliqz.com
12,clustrmaps.com
12,cntdy.mobi
12,coin-hive.com
12,construsouzaconstrucoes.com
12,conversionfly.com
12,cool4mob.com
12,c.pl
12,cpmrevenuenetwork.com
12,creafi-online-media.com
12,cryptobara.com
12,csgoblock.com
12,databerries.com
12,dianomioffers.co.uk
12,didit.com
12,direction-x.com
12,dnsabr.com
12,doceree.com
12,dolcissimo.be
12,download-app.net
12,drsnsrch.com
12,duowan.com
12,early-birds.fr
12,ebdr3.com
12,ecpms.net
12,effad.ru
12,egyetemunk.com
12,elementsbrowser.com
12,elitegamershub.com
12,email-match.com
12,esellerate.net
12,exelate.com
12,express-news.me
12,fatchilli.media
12,filesusr.com
12,firebase.com
12,flygame.io
12,freenew.net
12,freewheel.com
12,fres-news.com
12,gamesoxalic.com
12,geobytes.com
12,getpublica.com
12,glopart.ru
12,gls.is
12,goprediction.com
12,gorselpanel.com
12,greendolarbag.com
12,group-ib.ru
12,gyro-n.com
12,h5v.eu
12,hack2day.com
12,hao61.net
12,hira-meki.jp
12,hit-parade.com
12,https443.net
12,hubvisor.io
12,id-3489.me
12,id-3842.me
12,id-43980.me
12,id-9431.me
12,iesnare.com
12,ig0nr8hhhb.com
12,inistrack.net
12,instructure.com
12,interakt.ru
12,interia.pl
12,intermarkets.net
12,iset.ro
12,jiankongbao.com
12,kampyle.com
12,kilu.de
12,kingrenovations.com.au
12,kinobot.pw
12,kinohd.pw
12,kinohot.pw
12,kmspico10.com
12,kontextua.com
12,koowo.com
12,krypt.com
12,kuwii.space
12,lead.im
12,leadin.com
12,leakbay.net
12,learnstrong.org
12,letro.jp
12,lexozfldkklgvc.com
12,lflink.com
12,load00.biz
12,load05.biz
12,load06.biz
12,load11.biz
12,load24.biz
12,load26.biz
12,load28.biz
12,load2.biz
12,load8.biz
12,lumitos.com
12,luxupcdna.com
12,lypn.net
12,maessocrsi.com
12,magnetic.com
12,marketscore.com
12,marsflag.com
12,mawaqaademo18.com
12,mdotlabs.com
12,megasliv.com
12,metadsp.co.uk
12,minerjet.com
12,mixtraff.com
12,mmnneo.com
12,mmotraffic.com
12,mobilda.com
12,mol11.biz
12,mol14.biz
12,mol16.biz
12,mol19.biz
12,mol5.biz
12,mol7.biz
